,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Next Rtg,Next WS,Veteran Value,VV Class,Starters
136,1998,Chris Mullin,SF,34.0,IND,82.0,2177.0,16.9,0.607,0.351,0.237,2.2,11.1,14.6,2.4,1.3,13.3,19.3,4.4,3.2,7.6,0.168,2.9,1.5,0.44,0.503,0.939,6.8,4.3,4.1,0.4885714285714285,0,1
137,1998,Rik Smits,C,31.0,IND,73.0,2085.0,19.9,0.532,0.003,0.231,7.7,20.8,9.9,1.0,3.0,10.5,29.2,2.5,3.6,6.1,0.141,-0.4,0.7,0.0,0.497,0.783,6.8,4.3,3.4,0.5083333333333333,0,1
138,1998,Olden Polynice,C,33.0,SAC,70.0,1458.0,14.7,0.464,0.002,0.212,12.9,20.8,12.7,1.3,2.1,14.2,21.1,-0.1,1.6,1.5,0.049,-2.1,0.5,0.0,0.46,0.452,-5.9,-0.4,2.0,2326.3888888888882,0,0
139,1998,Mitch Richmond,SG,32.0,SAC,70.0,2569.0,20.4,0.569,0.274,0.386,2.1,7.9,20.2,1.8,0.4,11.3,27.8,6.6,1.3,7.9,0.148,4.7,-2.3,0.389,0.466,0.864,-5.9,-0.4,3.3,-4063.818565400843,1,1
141,1998,Arvydas Sabonis,C,33.0,POR,73.0,2333.0,20.9,0.581,0.139,0.49,7.7,27.9,16.9,1.5,2.5,15.9,23.2,5.1,4.6,9.7,0.2,1.8,2.7,0.261,0.53,0.798,1.6,6.6,5.8,9.451282051282051,0,1
142,1999,Nick Anderson,SF,31.0,ORL,47.0,1581.0,15.3,0.493,0.433,0.253,3.7,16.9,10.7,2.2,0.7,10.4,22.8,1.3,2.6,3.9,0.118,1.0,0.3,0.347,0.433,0.611,2.6,0.8,2.8,13.472727272727269,0,1
143,1999,Darrell Armstrong,PG,30.0,ORL,50.0,1502.0,22.2,0.575,0.362,0.341,4.0,10.0,40.8,3.9,0.2,20.8,22.9,3.8,2.7,6.4,0.205,5.1,0.8,0.365,0.483,0.904,2.6,0.8,8.0,380.0,0,1
144,1999,Horace Grant,PF,33.0,ORL,50.0,1660.0,13.3,0.455,0.004,0.154,8.0,16.7,9.3,1.5,2.7,8.3,14.5,1.4,2.7,4.1,0.118,-1.6,2.9,0.0,0.436,0.671,2.6,0.8,5.2,74.52574525745267,0,1
146,1999,Hakeem Olajuwon,C,36.0,HOU,50.0,1784.0,23.1,0.559,0.018,0.375,7.4,22.8,9.5,2.5,4.8,14.1,25.9,3.2,3.3,6.5,0.175,0.0,2.8,0.308,0.518,0.717,2.5,-0.8,1.6,-209.4017094017096,1,1
147,1999,Scottie Pippen,SF,33.0,HOU,50.0,2011.0,16.8,0.53,0.351,0.303,3.9,14.2,24.4,2.6,1.3,18.8,19.7,2.5,2.3,4.9,0.116,1.8,1.7,0.34,0.482,0.721,2.5,-0.8,7.8,164.39909297052162,0,1
148,1999,Dana Barros,PG,31.0,BOS,50.0,1156.0,17.7,0.576,0.431,0.197,1.5,8.9,29.9,2.4,0.3,17.9,19.0,2.5,0.9,3.4,0.139,2.4,-2.2,0.4,0.493,0.877,-2.1,-1.1,2.4,1.8888888888888888,0,0
149,1999,Mookie Blaylock,PG,31.0,ATL,48.0,1763.0,16.7,0.463,0.386,0.14,3.0,11.8,31.7,3.2,0.4,14.3,21.5,1.5,3.2,4.7,0.127,2.9,2.0,0.307,0.425,0.758,3.1,-5.7,3.3,1.865079365079365,0,1
154,1999,Charles Oakley,PF,35.0,TOR,50.0,1633.0,10.8,0.479,0.015,0.254,6.7,19.9,17.1,1.5,1.0,20.9,12.8,0.7,1.4,2.1,0.062,-1.6,1.1,0.2,0.432,0.807,-1.9,-0.1,2.2,55.55555555555556,0,1
155,1999,Kevin Willis,C,36.0,TOR,42.0,1216.0,15.6,0.489,0.004,0.347,10.3,23.2,10.3,1.2,1.8,14.3,22.4,1.1,1.2,2.4,0.093,-1.5,-0.8,0.0,0.42,0.839,-1.9,-0.1,2.3,102.85714285714276,0,1
158,1999,Ron Harper,SG,35.0,CHI,35.0,1107.0,14.7,0.451,0.218,0.259,5.0,14.7,20.6,3.0,2.4,13.0,21.2,-0.2,1.4,1.2,0.053,-0.9,1.9,0.318,0.393,0.703,-10.4,-10.0,4.0,428.57142857142856,0,1
